3000 6000
41 467 34
2500 1169 24
2478 2358 62
464 2705 45
2281 1827 61
491 2995 42
1827 2436 91
2604 902 53
292 382 21
716 1718 95
2447 726 71
2538 1869 12
1667 2299 35
894 1703 11
1322 333 73
1664 141 11
1253 868 47
644 2662 57
2037 859 23
741 529 78
316 35 90
1842 288 6
40 2942 64
1648 446 5
890 729 70
350 6 1
393 548 29
623 84 54
756 2840 66
1376 1931 8
1944 2439 26
2323 2537 38
1118 2082 29
1541 1833 15
1639 2658 4
930 1977 6
1673 1386 21
1745 2924 72
270 2829 77
573 2097 12
2986 1290 61
636 1355 67
2655 574 31
52 350 50
1941 724 66
430 1107 91
7 2337 57
287 753 83
2945 2909 9
758 221 88
422 946 6
1030 1413 68
900 2591 62
1655 2410 59
624 2537 48
483 595 41
602 350 91
836 374 20
1596 21 48
2199 1668 84
2281 1734 53
1999 2418 38
900 788 27
467 728 93
648 1483 7
2421 2310 17
1813 514 9
1616 935 51
2600 2249 19
1556 1798 3
224 2008 44
2609 2989 2
195 2485 93
2343 523 87
2314 503 48
1200 1458 18
2580 1796 98
281 1589 98
1009 157 72
2622 538 92
38 179 90
2657 1958 91
1815 1888 56
2511 1202 34
272 2055 28
1646 2362 86
875 1433 69
2142 2844 16
881 1998 22
651 1021 99
557 1476 92
389 2075 12
2600 2510 3
2869 2861 88
1401 789 55
1423 2002 85
182 1285 88
1426 1617 57
832 932 69
2154 1721 89
1976 1329 68
1692 425 55
434 1549 41
512 145 60
718 753 39
423 1279 96
1687 529 49
2437 1866 49
193 2195 97
2416 1286 5
488 1282 55
1734 114 1
1316 2671 86
263 1313 55
1185 2053 12
1808 1832 45
1313 756 21
1558 2646 82
481 1144 96
2222 1129 61
2535 2450 73
1466 44 59
2292 2439 53
2024 2154 10
1745 2649 86
2313 1474 22
2168 2018 87
905 2958 91
1202 625 77
1414 314 24
2334 1874 72
2159 2833 70
1487 1297 18
2177 2773 70
1763 2668 92
1985 102 80
2213 1627 2
1099 527 25
1543 1924 23
2972 1061 81
1003 432 5
593 1725 31
2492 142 22
1286 1064 0
1187 2360 13
974 2270 70
235 833 11
1760 896 67
1285 550 40
1694 2695 24
1019 2125 76
694 1658 2
2371 1466 78
1593 2851 84
1018 1464 19
2152 2800 87
1060 1926 10
1757 2170 15
576 227 43
1758 1164 9
1882 2086 65
487 2577 74
2625 1627 29
1928 1423 20
902 2962 23
596 737 61
1195 2525 64
2260 202 16
2030 2326 11
771 411 47
153 520 90
2924 188 63
1940 2851 62
1829 900 13
958 2578 65
1007 2477 0
2058 439 3
760 1357 24
477 2108 13
2887 1801 50
2460 1428 93
384 1405 40
1111 1704 35
2356 72 50
823 2485 56
2216 1626 57
2526 1357 37
2271 2869 61
896 1022 17
1112 717 96
2585 41 23
129 229 65
559 2932 96
2855 53 62
584 2734 54
1972 457 69
1532 2963 7
2483 911 35
1067 1848 75
938 2223 42
2754 511 41
2175 459 25
221 2870 26
1934 205 83
2850 2398 79
1701 193 34
1637 2534 56
1993 1176 5
962 1548 81
300 2413 41
1855 855 42
