7000 50000
41 4467 34
5500 5169 24
4478 1358 12
3464 5705 45
2281 2827 11
491 2995 42
4827 5436 41
604 3902 3
292 5382 21
4716 5718 45
5447 726 21
4538 1869 12
4667 5299 35
2894 703 11
3322 2333 23
4664 1141 11
253 6868 47
6644 4662 7
6037 5859 23
2741 6529 28
5316 3035 40
1842 288 6
2040 1942 14
1648 6446 5
1890 6729 20
1350 1006 1
3393 3548 29
5623 3084 4
4756 4840 16
376 6931 8
2944 4439 26
4323 5537 38
2118 2082 29
2541 4833 15
4639 1658 4
2930 6977 6
3673 1386 21
745 5924 22
6270 5829 27
1573 5097 12
2986 6290 11
4636 1355 17
2655 1574 31
5052 6350 0
2941 724 16
3430 3107 41
4007 4337 7
5287 6753 33
945 1909 9
2758 3221 38
6422 3946 6
6030 2413 18
900 4591 12
1655 3410 9
6624 6537 48
6483 6595 41
3602 3350 41
2836 2374 20
4596 3021 48
2199 5668 34
1281 4734 3
1999 5418 38
6900 3788 27
467 3728 43
3648 1483 7
2421 310 17
1813 2514 9
616 4935 1
6600 5249 19
3556 1798 3
6224 4008 44
4609 989 2
3195 6485 43
343 2523 37
1314 2503 48
4200 6458 18
6580 5796 48
1281 5589 48
9 6157 22
2622 4538 42
6038 3179 40
1657 958 41
5815 1888 6
4511 2202 34
3272 6055 28
1646 5362 36
4875 433 19
6142 2844 16
881 3998 22
4651 3021 49
3557 476 42
3389 5075 12
2600 2510 3
5869 3861 38
6401 2789 5
2423 5002 35
3182 3285 38
3426 617 7
2832 2932 19
2154 4721 39
5976 3329 18
692 425 5
3434 2549 41
2512 2145 10
718 3753 39
5423 2279 46
2687 5529 49
3437 5866 49
193 2195 47
6416 286 5
3488 2282 5
4734 4114 1
3316 6671 36
5263 4313 5
3185 6053 12
3808 1832 45
4313 6756 21
5558 2646 32
481 4144 46
6222 129 11
5535 6450 23
3466 5044 9
5292 5439 3
6024 5154 10
4745 6649 36
1313 4474 22
2168 18 37
2905 3958 41
3202 3625 27
4414 2314 24
1334 4874 22
6159 4833 20
487 297 18
1177 3773 20
1763 2668 42
6985 3102 30
1213 627 2
4099 2527 25
1543 1924 23
1972 6061 31
3003 6432 5
6593 1725 31
1492 142 22
3286 6064 0
5187 1360 13
2974 270 20
235 2833 11
4760 4896 17
285 5550 40
6694 2695 24
19 2125 26
694 1658 2
3371 1466 28
1593 2851 34
1018 464 19
2152 2800 37
3060 1926 10
4757 4170 15
2576 2227 43
1758 164 9
882 3086 15
3487 1577 24
2625 4627 29
3928 4423 20
6902 962 23
3596 3737 11
3195 4525 14
1260 6202 16
5030 6326 11
2771 6411 47
153 520 40
924 2188 13
4940 6851 12
6829 2900 13
