3000 5500
41 467 -100
1169 724 -108
2962 464 95
2281 1827 41
2995 2942 36
2391 2604 -3
292 382 116
1718 1895 126
2771 2538 112
1667 2299 144
1703 2811 -33
2673 1664 61
1253 868 44
2662 2757 109
2723 741 28
316 35 -42
288 106 -92
1264 1648 -105
890 729 -50
6 1101 98
1629 623 -4
756 2840 -26
1931 2308 -39
626 2323 88
1118 2082 41
1833 1115 108
1704 930 56
1673 1386 95
2924 1072 -129
2777 573 12
2986 1290 36
1355 767 124
1031 52 -100
1941 724 -130
1107 191 87
457 287 33
2945 2909 8
221 588 -46
506 1030 68
900 2591 -5
2410 359 -137
548 483 141
602 350 86
374 2020 -21
348 2199 -34
2281 1734 49
2418 938 -38
127 467 -43
648 1483 21
2310 617 64
2309 1616 51
2600 2249 56
1798 303 -58
2844 2609 2
195 2485 93
523 1587 -53
1448 1200 -18
2580 1796 -131
1589 2798 7
2472 2622 -142
38 179 -107
1958 191 88
1156 2511 -84
272 2055 -146
2362 1886 83
2869 2142 -66
881 1998 -51
1021 2699 126
892 389 62
2600 2510 19
2861 2688 39
255 1423 -85
182 1285 -76
1617 2757 -32
1169 2154 89
1976 1329 -42
425 1555 -49
1441 512 60
718 753 123
1279 1996 79
1549 2437 -49
193 2195 16
1286 1105 -82
455 1734 -1
1316 2671 -113
1313 355 103
912 1808 -95
1313 756 58
2646 982 94
2196 2222 61
2535 2450 116
44 659 -39
2253 2024 -110
1745 2649 -63
1474 1022 -68
787 905 -41
1202 625 64
314 1824 -74
372 2159 20
1487 1297 -77
2773 2270 118
2192 1985 -80
2213 1627 -49
527 2625 124
2023 2972 81
1003 432 143
1725 1031 -142
2222 1286 -100
1187 2360 74
2270 2170 83
1711 1760 -17
1285 550 -44
2695 624 25
2576 694 -52
2371 1466 -93
2851 1484 -114
119 2152 -87
1060 1926 -107
2170 2315 -77
43 1758 -9
1882 2086 37
2577 2474 127
2629 1928 20
902 2962 146
737 1261 125
1264 2260 -16
2030 2326 21
411 1547 70
2790 2924 -13
1940 2851 -29
900 2713 -28
2365 1007 0
2058 439 10
1357 2324 8
113 2887 50
2460 1428 84
1405 540 54
835 2356 -100
823 2485 -116
1626 357 -7
2337 2271 111
896 1022 62
717 696 41
423 129 65
559 2932 -5
53 1962 -34
654 1972 119
1532 2963 83
911 2635 48
1675 938 92
2754 511 75
459 2825 20
1626 1934 133
2850 2398 51
193 734 134
2556 1993 -55
962 1548 0
2413 1641 105
1142 2462 127
2424 2678 -143
1296 673 -13
875 2072 -10
1017 2932 -95
1169 2831 -88
1685 1090 39
1990 145 114
651 2740 -8
335 2759 -105
1264 181 79
2775 2608 -147
2549 2556 127
467 2541 40
813 2174 77
2215 2683 142
1824 2601 -9
2670 2428 34
1075 786 -70
287 2847 -53
221 1663 -113
10 1171 90
164 1542 63
1591 704 -82
750 1205 39
303 2422 -147
1584 1648 14
1913 2075 62
2546 678 112
2519 1985 44
2865 540 8
1318 870 123
132 472 -37
1570 2763 3
2423 527 -119
2015 2565 -93
1347 2088 37
1409 2463 31
1588 2342 -110
221 1758 -38
2146 690 93
430 1620 -67
1536 2783 126
185 1038 129
2224 748 59
2257 766 -105
2318 2726 25
2355 1001 46
584 515 -92
2075 2913 -146
948 1072 -56
2173 429 -105
2626 2812 93
1565 1036 -41
814 2994 -52
2936 838 -5
15 1131 -141
2625 2011 136
1690 1650 -34
1893 1353 -102
2008 1262 54
1303 1634 6
148 2124 13
109 28 -80
318 1858 -5
1361 264 76
2643 2909 -111
1489 948 -3
674 2220 -23
831 1369 -9
1008 1619 3
945 781 -92
2685 1313 -39
722 2938 110
1461 234 -61
959 493 69
937 1869 0
1971 2264 15
555 1815 -39
212 2288 -4
1085 2710 -24
2380 2815 91
115 1679 -98
2073 788 132
2956 1689 108
941 790 63
28 1184 0
2071 1885 -21
2333 1867 45
2168 2825 -29
1650 2598 43
1686 80 -99
2667 1528 64
2421 2405 -66
1516 726 -137
681 1964 -136
21 2662 64
2309 2415 -23
2124 2941 112
1423 531 -118
318 2602 7
2481 1012 -80
114 2809 -6
290 293 -52
1054 1345 -98
1491 1712 114
1439 1958 -4
995 1052 129
238 2423 -66
2659 2498 -46
1462 2633 -22
1146 392 25
1647 2458 -57
1098 830 -50
1278 2799 -48
1882 540 75
2762 567 -97
1418 1897 -51
2816 230 125
658 229 -140
2560 147 -5
2675 792 104
1398 2146 -96
188 1569 -63
75 515 25
615 2528 -120
905 464 12
2161 524 69
330 1923 -83
1925 1910 136
337 1278 136
714 1164 149
1135 2505 104
1337 2623 -70
1608 568 35
152 373 -94
876 2826 -72
249 2640 -69
943 2611 39
2419 2565 85
1216 1450 59
2064 166 24
1509 300 123
589 1161 -118
358 2031 -76
1510 1422 -79
910 2552 -41
495 2764 -14
2902 1255 -24
972 2821 -47
577 789 45
594 1950 4
2481 1012 -39
1428 2912 -117
408 1415 -123
2759 2434 -86
1319 958 106
2166 700 142
787 1532 -74
447 2021 122
2331 2376 98
723 2982 -76
220 1111 -6
1490 2925 -36
1677 969 34
677 1668 -91
2196 1783 -77
2426 871 62
703 2027 -145
508 1185 -87
2443 313 0
1128 2111 -99
2192 1454 81
465 2267 143
634 1472 -30
901 1442 77
1770 702 -31
1590 2823 73
2179 1595 77
42 1310 -108
1926 487 -128
2651 2258 110
1783 286 -60
1472 1128 -141
2718 503 115
1938 1881 100
1614 598 -111
2063 2756 28
1489 1435 125
1586 1386 110
1330 2048 -92
433 2840 -85
1810 2599 142
1982 1328 -119
1244 794 -102
2647 2432 8
264 497 49
1015 2841 50
1812 648 51
474 1633 50
1854 990 119
2780 1578 144
340 1487 25
2483 2538 -43
1252 1011 -84
1840 1497 79
1540 805 42
1210 1549 -129
971 277 93
1620 497 -76
1790 582 -59
2418 2489 149
924 72 -8
967 1208 53
370 2607 -74
1722 611 111
2056 890 33
1716 1932 -41
1954 813 -46
460 2615 -49
2136 1680 -32
2387 2584 -67
