10000 8000
41 8467 34
6500 9169 24
1478 9358 62
4464 5705 45
3281 6827 61
491 2995 42
4827 5436 91
4604 3902 53
292 2382 21
8716 9718 95
5447 1726 71
1538 1869 12
5667 6299 35
9894 8703 11
1322 333 73
4664 5141 11
8253 6868 47
7644 2662 57
37 2859 23
9741 7529 78
2316 3035 90
1842 288 6
9040 8942 64
2648 7446 5
5890 6729 70
5350 5006 1
4393 3548 29
2623 4084 54
8756 1840 66
7376 3931 8
6944 2439 26
1323 5537 38
6118 2082 29
6541 4833 15
4639 9658 4
9930 3977 6
1673 2386 21
8745 6924 72
6270 5829 77
5573 5097 12
3986 3290 61
8636 2355 67
3655 5574 31
2052 7350 50
6941 1724 66
3430 1107 91
8007 1337 57
2287 7753 83
4945 8909 9
9758 4221 88
6422 4946 6
3030 6413 68
900 2591 62
1655 7410 59
7624 537 48
6483 7595 41
3602 4350 91
836 9374 20
4596 4021 48
3199 9668 84
8281 4734 53
1999 6418 38
6900 3788 27
467 3728 93
4648 2483 7
2421 4310 17
2813 9514 9
7616 8935 51
600 5249 19
1556 2798 3
6224 1008 44
2609 4989 2
3195 485 93
4343 523 87
9314 9503 48
5200 3458 18
580 9796 98
5281 9589 98
8009 7157 72
3622 8538 92
6038 4179 90
9657 7958 91
9815 2888 56
1511 6202 34
4272 55 28
2646 6362 86
8875 8433 69
142 3844 16
1881 1998 22
8651 21 99
3557 8476 92
4389 5075 12
2600 2510 3
6869 7861 88
3401 9789 55
6423 5002 85
4182 285 88
1426 8617 57
9832 932 69
2154 5721 89
9976 1329 68
8692 1425 55
3434 6549 41
9512 145 60
1718 3753 39
2423 6279 96
6687 2529 49
7437 9866 49
193 3195 97
416 8286 5
4488 6282 55
5734 8114 1
1316 671 86
2263 4313 55
1185 53 12
808 1832 45
4313 7756 21
9558 3646 82
481 4144 96
222 7129 61
5535 450 73
466 2044 59
6292 6439 53
24 6154 10
4745 649 86
8313 4474 22
2168 4018 87
9905 7958 91
202 3625 77
4414 9314 24
9334 5874 72
159 1833 70
7487 8297 18
8177 7773 70
1763 2668 92
3985 3102 80
9213 7627 2
4099 527 25
1543 1924 23
9972 3061 81
1003 7432 5
7593 2725 31
8492 142 22
1286 3064 0
9187 8360 13
974 4270 70
235 833 11
5760 8896 67
7285 2550 40
3694 2695 24
8019 2125 76
1694 2658 2
7371 2466 78
2593 3851 84
1018 8464 19
3152 2800 87
1060 1926 10
4757 2170 15
9576 227 43
2758 7164 9
7882 7086 65
3487 9577 74
2625 5627 29
1928 5423 20
6902 4962 23
4596 3737 61
195 2525 64
8260 6202 16
5030 326 11
771 6411 47
1153 1520 90
4924 188 63
4940 851 62
3829 900 13
8958 7578 65
3007 1477 0
6058 6439 3
2760 9357 24
6477 5108 13
4887 9801 50
4460 2428 93
7384 9405 40
1111 8704 35
2356 6072 50
8823 4485 56
3216 1626 57
8526 3357 37
3271 3869 61
2896 3022 17
112 2717 96
1585 4041 23
4129 4229 65
6559 8932 96
9855 2053 62
3584 9734 54
6972 1457 69
2532 2963 7
2483 911 35
67 2848 75
2938 2223 42
3754 6511 41
175 1459 25
3221 7870 26
1934 5205 83
3850 7398 79
2701 2193 34
1637 6534 56
1993 176 5
6962 548 81
300 4413 41
9855 4855 42
1462 7611 77
424 2678 52
8443 8296 73
40 9313 75
72 2818 10
1017 4932 12
695 3169 31
40 6488 85
9090 9497 89
5990 5145 53
9314 8651 40
2044 1258 35
8759 1192 5
5264 2181 3
3829 3775 8
9292 5997 49
9556 5561 27
6467 9541 29
1240 7813 74
601 6077 15
8683 8213 92
5824 5601 92
5759 2670 28
8027 4084 75
8786 5498 70
6287 3847 4
503 1221 63
5706 2363 10
2171 7489 40
2164 5542 19
913 7591 4
1818 9232 50
5205 4975 39
303 1422 98
1247 3584 48
2971 7864 13
1075 1545 12
7546 8678 69
5262 8519 85
8289 5944 65
8540 3245 8
8318 7870 1
8323 1132 72
7152 5087 70
9763 9901 3
4423 3527 0
6969 4015 65
28 1543 47
2088 2943 37
2409 6463 49
4681 1588 42
608 2060 21
1758 9954 88
4146 690 49
2843 1430 20
748 7067 36
783 8035 26
5185 7038 53
5629 1224 48
9923 3359 57
4766 4944 55
3318 2726 11
1025 355 1
2549 9496 84
9515 7964 42
8075 7913 42
1196 1948 72
426 4606 73
4429 2404 5
626 9812 75
93 6565 36
4736 9141 14
5994 8256 52
3936 838 82
1355 1015 31
8230 7841 25
2011 2637 86
9690 1650 62
1634 893 53
1416 3452 8
7262 2233 54
6303 6634 3
4256 148 24
2317 4213 9
4028 9200 80
1318 6858 50
4155 1361 64
1903 3676 43
6909 4902 61
8489 4948 82
3653 674 20
5402 6923 31
9369 3878 59
9008 2619 71
3 1945 81
6504 2392 85
5313 6698 89
2722 5938 37
6410 1461 34
2508 9961 59
6493 1515 69
4937 8869 58
4700 3971 64
5117 6215 55
7815 8330 39
212 9288 82
1954 6085 10
4484 4774 80
9815 5951 41
8115 1679 10
5898 3073 88
3977 8132 56
8689 6113 8
2941 5790 23
1363 28 84
4778 7200 71
1885 1974 71
1333 2867 53
4295 2168 25
9676 5629 50
2598 3309 93
4686 80 16
2249 6667 28
6679 7864 21
8405 8826 16
7516 7726 66
9087 7681 64
1340 5686 21
1662 4721 64
9309 415 2
9873 7124 41
2745 1762 23
7531 4806 68
9318 5602 7
4307 3481 12
1136 6630 14
6809 4084 56
2290 1293 96
9152 1054 45
4708 248 91
3712 5131 14
6439 7958 22
9704 6995 52
5269 7479 38
6423 7918 66
7659 2498 86
1196 7462 33
2158 2022 46
8392 3037 25
647 9458 2
807 4098 30
9292 4600 78
799 8352 48
3882 540 15
4575 8762 67
2336 8397 18
9897 5828 51
6816 4230 49
6925 658 29
4520 940 60
5147 5162 55
675 792 61
1754 6398 46
8714 6946 88
9569 8638 63
5075 4515 21
475 5615 28
3234 2570 5
9464 9557 62
4161 524 49
7469 330 23
8350 4333 25
910 9737 36
8337 1278 93
7636 714 64
1591 9949 35
2505 3337 4
6337 2623 64
9970 5608 68
9281 7085 52
8373 8652 94
9876 3826 96
7572 6249 40
9174 8819 43
2611 1941 89
8419 5565 5
7585 6216 50
1615 2609 64
9166 6893 74
3509 300 95
9573 5589 61
1172 7968 58
6031 6268 26
8510 422 74
8779 910 52
4182 5391 95
5764 874 64
4902 8255 60
474 6972 21
6122 5547 77
9789 5605 95
7594 7950 43
754 2481 12
1672 3439 28
5912 9762 67
4408 4415 8
7223 1759 34
5204 9486 19
958 5945 6
8166 8700 67
7692 1787 32
556 974 47
5021 8283 22
9331 2376 83
6948 2723 82
2018 4776 20
1111 2182 56
9490 8925 24
6486 9677 69
1643 7534 77
2668 1068 91
2196 7783 28
7727 9426 71
697 7612 3
1027 1408 45
9508 7185 38
4237 6443 13
2501 8850 28
2111 3650 49
1192 1454 69
681 7465 67
7713 9793 34
5472 972 30
4901 8442 77
3877 5770 2
4364 1381 90
8823 2237 23
2179 6595 69
2327 2042 10
8182 1058 26
9487 1670 28
5651 2258 13
9860 5783 86
2742 8610 72
7128 8434 41
718 3503 67
4865 938 81
9257 2750 14
8598 8458 61
6063 2756 7
278 9489 35
6365 2075 86
1386 7833 60
3330 6048 28
9492 2433 40
6766 1735 10
1599 1837 92
1982 7328 52
1369 1244 94
6608 9252 47
7432 9535 8
3264 3497 43
7649 2015 41
189 6100 12
648 9523 51
4474 8633 91
7200 9854 90
5697 4919 80
2578 2931 44
3340 3487 99
2525 8483 38
7492 6193 52
5011 1560 34
1840 1497 85
8529 1540 5
8791 3392 10
3549 1578 79
971 9277 73
193 1620 97
3826 1276 90
6582 3578 59
418 6489 59
3449 2924 72
380 7008 67
208 6477 3
5370 2607 96
2074 3722 11
