700 5000
41 267 34
600 269 24
278 658 12
664 105 45
181 27 11
491 195 42
627 536 41
604 402 3
292 482 21
516 118 45
547 26 21
338 469 12
467 399 35
94 3 11
522 233 23
464 441 11
253 568 47
344 462 7
437 259 23
641 229 28
416 235 40
442 288 6
640 542 14
248 146 5
490 429 20
650 306 1
593 48 29
23 284 4
556 640 16
376 631 8
144 239 26
123 637 38
18 682 29
441 633 15
439 258 4
130 677 6
173 686 21
45 324 22
670 229 27
173 197 12
186 690 11
436 655 17
555 174 31
152 50 0
141 24 16
630 307 41
507 137 7
387 453 33
245 509 9
658 421 38
122 446 6
430 313 18
200 391 12
255 610 9
324 237 48
183 295 41
102 550 41
36 274 20
396 221 48
99 68 34
581 534 3
599 518 38
600 288 27
467 228 43
148 83 7
321 310 17
413 414 9
616 35 1
300 349 19
56 398 3
624 508 44
409 289 2
395 185 43
343 423 37
614 403 48
0 158 18
280 196 48
581 689 48
9 557 22
522 338 42
438 379 40
257 258 41
215 488 6
311 102 34
472 455 28
246 462 36
675 433 19
542 44 16
181 498 22
451 221 49
57 476 42
589 175 12
500 410 3
269 361 38
101 689 5
323 102 35
382 485 38
626 617 7
32 132 19
54 521 39
376 529 18
692 425 5
634 449 41
412 45 10
18 253 39
523 179 46
587 629 49
637 266 49
193 95 47
116 286 5
688 182 5
534 614 1
516 371 36
363 113 5
385 453 12
308 432 45
113 456 21
658 546 32
481 644 46
622 129 11
635 150 23
666 144 9
392 539 3
424 254 10
545 349 36
613 274 22
68 18 37
105 458 41
402 125 27
214 214 24
634 674 22
559 633 20
487 297 18
477 273 20
363 568 42
685 302 30
513 627 2
599 427 25
143 524 23
572 461 31
203 132 5
293 325 31
92 142 22
486 464 0
287 660 13
174 270 20
235 33 11
560 696 17
285 650 40
394 595 24
19 25 26
694 258 2
571 66 28
193 51 34
318 464 19
52 0 37
260 526 10
557 670 15
476 127 43
358 164 9
182 286 15
687 177 24
525 427 29
428 223 20
602 262 23
96 237 11
395 325 14
560 602 16
130 26 11
671 111 47
153 520 40
224 88 13
40 551 12
529 100 13
58 78 15
407 277 0
158 139 3
160 457 24
177 208 13
187 201 0
460 28 43
84 505 40
311 4 35
156 472 0
623 485 6
116 226 7
126 57 37
171 69 11
296 422 17
312 117 46
385 241 23
329 429 15
259 532 46
455 153 12
84 334 4
172 457 19
132 163 7
383 211 35
267 448 25
338 123 42
654 211 41
575 459 25
421 370 26
434 505 33
50 598 29
301 293 34
237 634 6
593 376 5
662 48 31
300 413 41
255 355 42
262 311 27
124 478 2
243 296 23
240 213 25
472 218 10
317 232 12
595 569 31
440 588 35
190 597 39
90 445 3
414 451 40
344 58 35
359 692 5
64 281 3
329 675 8
592 397 49
156 361 27
167 141 29
440 513 24
301 477 15
283 513 42
624 1 42
359 570 28
27 584 25
586 98 20
687 47 4
503 221 13
106 263 10
471 189 40
264 342 19
613 591 4
318 132 0
5 75 39
303 222 48
47 284 48
171 364 13
575 545 12
46 478 19
562 119 35
289 544 15
340 145 8
318 570 1
323 132 22
552 587 20
363 501 3
423 27 0
369 15 15
28 543 47
688 143 37
9 563 49
481 188 42
608 560 21
358 554 38
146 690 49
243 430 20
48 467 36
483 535 26
485 38 3
429 24 48
323 559 7
266 44 5
218 526 11
25 55 1
149 396 34
415 464 42
375 413 42
396 248 22
126 606 23
629 204 5
326 412 25
693 465 36
36 441 14
394 556 2
136 38 32
655 15 31
30 341 25
611 437 36
90 250 12
634 393 3
416 152 8
262 533 4
203 534 3
256 148 24
417 13 9
228 500 30
318 58 0
355 561 14
3 176 43
309 202 11
489 448 32
353 574 20
502 623 31
469 378 9
108 219 21
603 245 31
604 492 35
113 398 39
122 338 37
110 661 34
608 161 9
193 115 19
437 169 8
0 671 14
417 115 5
115 130 39
112 588 32
554 685 10
684 274 30
415 51 41
615 279 10
698 673 38
177 632 6
689 213 8
341 390 23
363 28 34
278 200 21
485 274 21
133 467 3
295 668 25
576 229 0
498 509 43
486 680 16
349 67 28
79 164 21
5 426 16
516 426 16
387 381 14
640 86 21
462 21 14
609 115 2
473 324 41
545 262 23
231 606 18
218 2 7
507 381 12
136 30 14
209 584 6
390 293 46
452 354 45
8 248 41
412 231 14
339 258 22
304 695 2
69 479 38
523 618 16
159 298 36
196 462 33
258 122 46
192 437 25
147 58 2
7 598 30
592 600 28
499 152 48
582 540 15
375 362 17
636 197 18
297 628 1
216 430 49
125 658 29
20 440 10
447 662 5
375 92 11
254 298 46
314 346 38
669 238 13
375 15 21
475 215 28
634 670 5
364 657 12
161 424 49
669 330 23
350 333 25
410 137 36
137 578 43
636 614 14
91 349 35
405 37 4
237 523 14
170 408 18
381 85 2
173 652 44
76 26 46
572 649 40
474 619 43
411 541 39
19 665 5
585 116 0
215 509 14
66 93 24
209 200 45
473 189 11
372 468 8
131 368 26
510 622 24
379 110 2
682 191 45
164 174 14
202 255 10
474 672 21
222 347 27
689 405 45
294 250 43
54 381 12
472 339 28
312 662 17
608 215 8
423 559 34
304 86 19
258 345 6
466 500 17
192 87 32
456 174 47
121 83 22
631 276 33
348 123 32
318 76 20
311 682 6
590 525 24
186 77 19
443 534 27
268 268 41
696 83 28
27 26 21
197 112 3
527 208 45
408 185 38
437 543 13
101 450 28
11 550 49
692 54 19
681 165 17
213 193 34
272 672 30
401 442 27
577 570 2
364 681 40
423 137 23
679 495 19
227 142 10
182 558 26
387 270 28
51 158 13
60 583 36
642 210 22
128 234 41
418 3 17
365 438 31
157 350 14
398 458 11
163 556 7
678 589 35
65 575 36
686 133 10
30 148 28
92 533 40
466 335 10
399 637 42
482 328 2
169 444 44
308 152 47
632 435 8
464 697 43
349 315 41
189 0 12
548 423 1
674 633 41
600 254 40
497 19 30
178 331 44
540 187 49
125 83 38
492 593 2
511 160 34
440 697 35
329 40 5
91 92 10
249 578 29
171 177 23
593 220 47
526 476 40
282 278 9
118 589 9
649 324 22
580 408 17
408 177 3
670 407 46
174 422 11
119 61 6
290 363 33
416 332 2
641 54 13
62 596 10
315 404 49
536 480 48
432 387 34
240 17 6
270 241 32
49 23 8
205 221 45
296 116 28
378 279 8
277 150 7
629 281 45
578 176 3
599 584 15
293 308 22
43 529 14
368 155 41
373 522 48
51 486 44
346 77 17
629 516 24
391 69 12
446 593 41
15 349 7
340 152 36
151 387 26
162 155 33
694 80 47
265 465 13
161 678 28
78 140 11
447 345 20
575 189 0
549 533 15
514 482 7
132 496 17
522 682 10
141 231 37
405 179 21
238 551 47
408 546 26
559 89 22
366 86 5
628 214 10
553 577 48
603 361 31
382 555 47
406 352 21
496 381 21
655 547 24
118 35 26
374 459 48
174 153 22
135 243 38
453 632 47
680 326 28
150 101 11
199 555 13
116 73 11
145 173 24
150 553 31
87 599 10
443 665 22
429 181 12
176 181 47
290 571 5
172 632 39
220 65 31
558 93 6
678 148 6
571 666 46
597 220 44
129 88 9
484 69 28
617 515 26
184 68 6
28 197 18
590 499 35
486 299 20
410 71 13
115 485 18
80 631 17
687 144 36
507 160 27
74 531 2
171 468 43
285 337 11
104 77 6
68 322 13
100 542 37
638 388 5
689 147 31
493 484 37
261 193 17
401 682 47
265 253 4
384 195 25
121 464 31
672 406 6
543 193 30
680 168 11
413 668 1
616 179 18
240 31 33
679 363 9
53 636 45
565 674 20
235 480 26
255 125 21
308 259 6
2 332 5
640 375 12
485 262 30
436 297 2
8 280 40
176 658 43
40 146 24
273 197 30
235 572 0
7 555 16
641 488 31
368 315 46
125 309 12
636 255 12
543 42 21
422 12 48
118 68 17
614 150 40
535 159 19
195 403 40
279 399 5
291 461 31
152 353 33
529 587 42
353 483 20
414 518 44
263 229 2
664 569 20
305 47 44
487 526 26
323 240 29
190 388 10
571 445 21
470 583 39
155 78 29
106 662 35
387 596 33
688 335 29
593 90 12
65 501 5
607 67 19
334 471 7
398 45 47
218 438 44
372 163 28
564 101 23
190 604 1
427 697 42
171 63 1
663 21 15
621 345 10
495 641 22
312 451 15
355 593 38
579 282 8
54 322 7
445 638 44
590 539 4
104 423 25
478 24 31
230 333 23
294 430 46
87 45 5
216 150 39
38 263 35
697 9 30
124 508 37
674 420 22
493 355 34
461 256 6
484 75 32
119 441 32
184 179 29
83 367 36
325 318 37
528 619 27
237 91 6
395 660 1
393 632 36
380 175 7
184 74 19
190 176 41
551 629 40
574 672 41
289 387 40
439 193 3
263 181 3
405 376 29
295 539 18
698 83 39
115 321 43
426 322 38
328 681 49
578 691 23
343 334 43
349 602 7
202 641 37
646 491 37
213 200 16
190 562 35
426 510 27
182 360 39
105 574 13
422 695 16
260 438 38
111 245 17
225 267 39
42 463 47
402 217 49
523 426 3
648 51 20
236 358 17
56 305 31
562 219 25
56 531 45
344 491 3
588 15 0
419 672 41
683 333 25
142 469 0
454 178 35
157 133 43
690 303 0
433 222 21
11 90 38
641 158 47
252 558 29
102 483 40
202 168 22
95 535 8
461 642 44
599 88 28
542 557 41
447 469 45
180 413 14
510 461 35
473 204 12
503 102 19
254 29 2
574 249 30
144 344 49
118 265 13
652 73 20
331 447 11
269 398 48
103 52 29
53 443 22
288 163 34
50 222 40
211 392 1
580 77 16
476 278 20
615 648 48
679 135 7
