700 100
41 267 34
600 269 24
278 658 12
664 105 45
181 27 11
491 195 42
627 536 41
604 402 3
292 482 21
516 118 45
547 26 21
338 469 12
467 399 35
94 3 11
522 233 23
464 441 11
253 568 47
344 462 7
437 259 23
641 229 28
416 235 40
442 288 6
640 542 14
248 146 5
490 429 20
650 306 1
593 48 29
23 284 4
556 640 16
376 631 8
144 239 26
123 637 38
18 682 29
441 633 15
439 258 4
130 677 6
173 686 21
45 324 22
670 229 27
173 197 12
186 690 11
436 655 17
555 174 31
152 50 0
141 24 16
630 307 41
507 137 7
387 453 33
245 509 9
658 421 38
122 446 6
430 313 18
200 391 12
255 610 9
324 237 48
183 295 41
102 550 41
36 274 20
396 221 48
99 68 34
581 534 3
599 518 38
600 288 27
467 228 43
148 83 7
321 310 17
413 414 9
616 35 1
300 349 19
56 398 3
624 508 44
409 289 2
395 185 43
343 423 37
614 403 48
0 158 18
280 196 48
581 689 48
9 557 22
522 338 42
438 379 40
257 258 41
215 488 6
311 102 34
472 455 28
246 462 36
675 433 19
542 44 16
181 498 22
451 221 49
57 476 42
589 175 12
500 410 3
269 361 38
101 689 5
323 102 35
382 485 38
626 617 7
32 132 19
54 521 39
